번호,관리기관,버스정류장명,경도,위도,버스정류장 외국어 음성안내 정보시스템 설치여부,관리기관명,데이터기준일자
23,경기도 양주시,가납사거리,126.9863613,37.82037771,N,양주시 대중교통과,2023-08-23
24,경기도 양주시,가래비사거리,126.988859,37.821794,N,양주시 대중교통과,2023-08-23
25,경기도 양주시,가래비시장,126.9855883,37.82327867,N,양주시 대중교통과,2023-08-23
26,경기도 양주시,가래비주유소,126.9880987,37.82180142,N,양주시 대중교통과,2023-08-23
27,경기도 양주시,가야1차아파트,126.9936224,37.78659272,N,양주시 대중교통과,2023-08-23
28,경기도 양주시,가야3차아파트,126.995768,37.78638563,N,양주시 대중교통과,2023-08-23
29,경기도 양주시,가업리마을회관,126.9745961,37.78567994,N,양주시 대중교통과,2023-08-23
30,경기도 양주시,갓바위.상수2리마을회관,127.002001,37.87022801,N,양주시 대중교통과,2023-08-23
31,경기도 양주시,갓바위.상수2리마을회관,127.0024783,37.87027305,N,양주시 대중교통과,2023-08-23
32,경기도 양주시,검준공단,126.992595,37.865853,N,양주시 대중교통과,2023-08-23
33,경기도 양주시,경동대입구.명진빌라,127.0737791,37.80173852,N,양주시 대중교통과,2023-08-23
34,경기도 양주시,경동대입구.명진빌라,127.0743699,37.80210584,N,양주시 대중교통과,2023-08-23
35,경기도 양주시,고릉말,127.0051571,37.80072889,N,양주시 대중교통과,2023-08-23
36,경기도 양주시,고릉말,127.0051344,37.80191815,N,양주시 대중교통과,2023-08-23
37,경기도 양주시,고암2통마을회관입구.독바위공원,127.0701605,37.82372824,N,양주시 대중교통과,2023-08-23
38,경기도 양주시,고암2통마을회관입구.독바위공원,127.073853,37.820298,N,양주시 대중교통과,2023-08-23
39,경기도 양주시,고암동삼거리상회,127.070032,37.823806,N,양주시 대중교통과,2023-08-23
40,경기도 양주시,고읍신도브레뉴,127.0773206,37.79134196,N,양주시 대중교통과,2023-08-23
41,경기도 양주시,고읍신도브레뉴,127.077415,37.789577,N,양주시 대중교통과,2023-08-23
42,경기도 양주시,고읍주공4단지.건강보험양주지사,127.0784557,37.79607817,N,양주시 대중교통과,2023-08-23
43,경기도 양주시,고읍주공4단지.건강보험양주지사,127.0781169,37.79544426,N,양주시 대중교통과,2023-08-23
